Airport.Code,Airport.Name,Time.Month,Time.Month Name,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Carriers.Names,Statistics.Carriers.Total,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Diverted,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Security,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",8,August,2003,1178,1350,2138,17,269,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",13,466,4951,169,22370,27956,77082,80115,106597,526,286661,22341
DTW,"Detroit, MI: Detroit Metro Wayne County",8,August,2003,459,442,1034,6,155,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,412,2096,52,9620,12180,29306,27485,46410,293,116543,13049
EWR,"Newark, NJ: Newark Liberty International",8,August,2003,488,713,2528,7,144,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",13,431,3881,111,8599,13022,36683,56753,180746,177,289106,14747
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",8,August,2003,279,396,489,9,46,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",11,36,1220,14,3555,4825,15853,25824,18216,334,63559,3332
IAD,"Washington, DC: Washington Dulles International",8,August,2003,378,447,849,9,129,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.",13,190,1813,40,6715,8758,21505,30744,43185,295,106819,11090
JFK,"New York, NY: John F. Kennedy International",8,August,2003,403,380,856,15,64,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",11,205,1717,66,4239,6227,28257,29338,42732,401,105234,4506
LAS,"Las Vegas, NV: McCarran International",8,August,2003,576,747,480,7,75,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,70,1884,10,10293,12257,34285,38636,17699,231,97026,6175
LAX,"Los Angeles, CA: Los Angeles International",8,August,2003,796,761,622,11,139,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,141,2333,9,16770,19253,47486,46658,26226,336,131186,10480
LGA,"New York, NY: LaGuardia",8,August,2003,419,500,1421,1,125,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",11,597,2465,82,6158,9302,26770,38198,102604,15,180002,12415
MCO,"Orlando, FL: Orlando International",8,August,2003,450,584,757,6,82,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",13,48,1878,30,6032,7988,25260,38574,31786,454,101540,5466
MDW,"Chicago, IL: Chicago Midway International",8,August,2003,205,446,414,15,72,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,Southwest Airlines Co.",9,77,1152,13,6035,7277,10853,28232,21868,578,68622,7091
MIA,"Miami, FL: Miami International",8,August,2003,293,314,696,10,70,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",13,97,1385,13,3663,5158,18544,24339,30059,306,78097,4849
MSP,"Minneapolis, MN: Minneapolis-St Paul International",8,August,2003,533,438,639,9,104,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",11,182,1724,6,10975,12887,36711,26224,22843,294,93346,7274
ORD,"Chicago, IL: Chicago O'Hare International",8,August,2003,1017,1512,3461,12,237,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.",12,941,6236,138,23806,31121,77366,109807,237540,430,447656,22513
PDX,"Portland, OR: Portland International",8,August,2003,194,336,128,5,29,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.",9,26,693,4,4249,4972,9713,18118,4683,148,34824,2162
PHL,"Philadelphia, PA: Philadelphia International",8,August,2003,442,695,1317,0,132,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",13,242,2590,31,6527,9390,22519,44213,65862,0,143224,10630
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",8,August,2003,607,719,509,20,87,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,117,1942,14,12284,14357,35681,39053,17893,840,99568,6101
SAN,"San Diego, CA: San Diego International",8,August,2003,375,382,256,2,48,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,27,1062,5,6105,7199,18544,20569,9091,84,51666,3378
SEA,"Seattle, WA: Seattle/Tacoma International",8,August,2003,482,730,364,24,57,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,113,1661,12,8229,10015,27105,41966,13662,839,87912,4340
SFO,"San Francisco, CA: San Francisco International",8,August,2003,517,385,869,10,94,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",11,96,1876,5,8755,10732,28598,27313,36056,307,99292,7018
SLC,"Salt Lake City, UT: Salt Lake City International",8,August,2003,440,326,381,15,112,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.",10,74,1271,28,9626,10999,23058,16936,13330,596,64430,10510
TPA,"Tampa, FL: Tampa International",8,August,2003,265,350,450,2,61,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,37,1129,19,4317,5502,15252,24242,19501,80,63084,4009
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",9,September,2003,700,807,2267,4,161,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.",11,359,3936,33,26049,30377,45856,42031,82737,180,180656,9852
BOS,"Boston, MA: Logan International",9,September,2003,287,413,675,1,23,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",14,257,1398,13,7860,9528,16865,22421,27189,45,68271,1751
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",9,September,2003,238,289,358,2,41,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",11,205,930,43,7031,8209,11225,15028,13129,42,42472,3048
CLT,"Charlotte, NC: Charlotte Douglas International",9,September,2003,169,271,475,0,14,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",11,145,929,1,7399,8474,8943,13038,15857,22,38730,870
DCA,"Washington, DC: Ronald Reagan Washington National",9,September,2003,231,161,470,1,28,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",13,354,894,29,5230,6507,11136,8715,17771,145,39420,1653
DEN,"Denver, CO: Denver International",9,September,2003,319,204,336,3,41,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",13,50,900,6,11120,12076,17206,9780,11566,117,41637,2968
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",9,September,2003,654,751,1027,2,125,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",13,571,2562,97,23815,27045,41366,45046,50091,55,151679,15121
DTW,"Detroit, MI: Detroit Metro Wayne County",9,September,2003,296,236,562,1,52,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,144,1147,13,10032,11336,18882,12584,17982,36,53533,4049
EWR,"Newark, NJ: Newark Liberty International",9,September,2003,247,483,3818,2,147,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",13,596,4699,14,6880,12189,15809,38281,231105,94,295779,10490
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",9,September,2003,143,164,385,1,9,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",11,35,701,3,3884,4623,7175,9656,14175,32,31570,532
IAD,"Washington, DC: Washington Dulles International",9,September,2003,221,241,470,1,29,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.",13,320,966,20,7113,8419,11679,14305,21596,14,50212,2618
JFK,"New York, NY: John F. Kennedy International",9,September,2003,245,159,473,3,19,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",11,34,896,13,4868,5811,13176,7732,14391,93,36388,996
LAS,"Las Vegas, NV: McCarran International",9,September,2003,374,445,370,2,18,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,68,1207,2,10628,11905,16643,20772,12331,25,50816,1045
LAX,"Los Angeles, CA: Los Angeles International",9,September,2003,542,416,479,6,53,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,171,1496,9,16520,18196,25779,18960,15896,178,63767,2954
LGA,"New York, NY: LaGuardia",9,September,2003,223,283,1099,0,77,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",11,341,1684,11,6735,8771,11733,16588,57867,0,91015,4827
MCO,"Orlando, FL: Orlando International",9,September,2003,212,250,371,1,19,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,63,857,9,6219,7148,10620,13750,14734,25,40150,1021
MDW,"Chicago, IL: Chicago Midway International",9,September,2003,133,259,224,2,15,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,Southwest Airlines Co.",9,70,632,9,6509,7220,6622,13408,8075,34,29236,1097
MIA,"Miami, FL: Miami International",9,September,2003,156,125,479,0,25,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",12,67,784,10,3871,4732,10455,7536,18311,34,37924,1588
MSP,"Minneapolis, MN: Minneapolis-St Paul International",9,September,2003,317,228,755,3,90,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",11,117,1390,13,10023,11543,21792,12359,27675,64,67403,5513
ORD,"Chicago, IL: Chicago O'Hare International",9,September,2003,573,892,3323,4,99,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.",12,433,4889,31,24285,29638,36242,49229,152057,77,243497,5892
PDX,"Portland, OR: Portland International",9,September,2003,133,142,144,2,6,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.",9,44,428,1,4144,4617,6798,7490,4505,39,19295,463
PHL,"Philadelphia, PA: Philadelphia International",9,September,2003,207,361,1198,0,40,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",13,206,1806,33,6902,8947,9829,21665,56548,0,91049,3007
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",9,September,2003,369,404,347,2,15,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,146,1138,8,12372,13664,20111,18043,12205,44,51261,858
